Log file created at: 2019/04/27 10:28:27
Running on machine: in_dev_docker
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0427 10:28:27.485291  2097 class_loader_utility.h:78]  registerclass:PlanningComponent,apollo::cyber::ComponentBase,/apollo/bazel-bin/modules/planning/libplanning_component.so
W0427 10:28:33.414208  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586994, 4.14123e+06, 0), heading = -0.22917
W0427 10:28:33.414214  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586994, 4.14123e+06, 0), heading = -0.234047
W0427 10:28:33.414222  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586995, 4.14123e+06, 0), heading = -0.238663
W0427 10:28:33.414229  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586995, 4.14123e+06, 0), heading = -0.243026
W0427 10:28:33.414237  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586996, 4.14123e+06, 0), heading = -0.247146
W0427 10:28:33.414244  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586996, 4.14123e+06, 0), heading = -0.251028
W0427 10:28:33.414252  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586997, 4.14123e+06, 0), heading = -0.254681
W0427 10:28:33.414259  2103 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586997, 4.14123e+06, 0), heading = -0.258114
E0427 10:28:33.414301  2103 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	2
E0427 10:28:33.417107  2103 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:28:33.417856  2103 planning_component.cc:154]  Planning response time: 33.0169
E0427 10:28:33.488894  2099 valet_parking_scenario.cc:111]  No parking space id from routing
W0427 10:28:33.523537  2099 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586986, 4.14124e+06, 0), heading = -0.0886793
W0427 10:28:33.523581  2099 path_bounds_decider.cc:515]  Failed to find nearest lane from map at position: (x, y, z) = (586986, 4.14124e+06, 0), heading = -0.0994459
