Log file created at: 2019/04/27 10:23:36
Running on machine: in_dev_docker
Log line format: [IWEF]mmdd hh:mm:ss.uuuuuu threadid file:line] msg
I0427 10:23:36.981840  1762 class_loader_utility.h:78]  registerclass:PlanningComponent,apollo::cyber::ComponentBase,/apollo/bazel-bin/modules/planning/libplanning_component.so
E0427 10:23:44.664075  1764 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	1.69599
E0427 10:23:44.666827  1764 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:44.667821  1764 planning_component.cc:154]  Planning response time: 33.0726
E0427 10:23:44.736459  1764 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:44.788305  1764 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	1.55006
E0427 10:23:44.791873  1764 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:44.793239  1764 planning_component.cc:154]  Planning response time: 58.5004
E0427 10:23:44.838414  1765 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:44.897526  1765 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	1.42547
E0427 10:23:44.900415  1765 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:44.901397  1765 planning_component.cc:154]  Planning response time: 66.2864
E0427 10:23:44.938233  1767 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:44.992710  1767 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	1.31809
E0427 10:23:44.995549  1767 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:44.996524  1767 planning_component.cc:154]  Planning response time: 61.4694
E0427 10:23:45.035553  1773 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:45.063670  1773 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	1.22477
E0427 10:23:45.066623  1773 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:45.067605  1773 planning_component.cc:154]  Planning response time: 32.9005
E0427 10:23:45.138281  1770 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:45.192682  1770 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	1.14305
E0427 10:23:45.195502  1770 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:45.196444  1770 planning_component.cc:154]  Planning response time: 61.3443
E0427 10:23:45.235740  1774 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:45.263238  1774 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	1.071
E0427 10:23:45.266036  1774 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:45.267050  1774 planning_component.cc:154]  Planning response time: 32.281
E0427 10:23:45.336124  1765 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:45.380178  1765 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	1.00707
E0427 10:23:45.383199  1765 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:45.384305  1765 planning_component.cc:154]  Planning response time: 49.4636
E0427 10:23:45.435808  1764 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:45.475078  1764 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	0.950039
E0427 10:23:45.478206  1764 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:45.479353  1764 planning_component.cc:154]  Planning response time: 44.6037
E0427 10:23:45.538336  1771 valet_parking_scenario.cc:111]  No parking space id from routing
E0427 10:23:45.597091  1771 piecewise_jerk_path_optimizer.cc:132]  adjusted lateral derivative bound from 	2	0.898884
E0427 10:23:45.600008  1771 lane_follow_stage.cc:143]  reference line is NOT lane change ref.
I0427 10:23:45.601094  1771 planning_component.cc:154]  Planning response time: 65.9276
E0427 10:23:45.635711  1768 valet_parking_scenario.cc:111]  No parking space id from routing
